person,device,date,timestamp
E421,ET1,2025-09-02,2025-09-02 08:48:10
E421,ET1,2025-09-03,2025-09-03 08:48:40
E421,ET1,2025-09-04,2025-09-04 08:52:11
E421,ET1,2025-09-06,2025-09-06 09:08:35
E421,ET1,2025-09-08,2025-09-08 08:49:59
E421,ET1,2025-09-09,2025-09-09 08:43:01
E421,ET1,2025-09-10,2025-09-10 08:45:09
E421,ET1,2025-09-11,2025-09-11 08:44:52
E421,ET1,2025-09-12,2025-09-12 08:44:02
E421,ET1,2025-09-13,2025-09-13 08:53:01
E421,ET1,2025-09-15,2025-09-15 08:48:44
E421,ET1,2025-09-17,2025-09-17 08:46:05
E421,ET1,2025-09-18,2025-09-18 08:48:07
E421,ET1,2025-09-19,2025-09-19 08:45:38
E421,ET1,2025-09-22,2025-09-22 09:37:43
E421,ET1,2025-09-24,2025-09-24 08:46:17
E421,ET1,2025-09-25,2025-09-25 08:44:42
E421,ET1,2025-09-26,2025-09-26 08:47:01
E421,ET1,2025-09-27,2025-09-27 09:05:10
E421,ET1,2025-09-29,2025-09-29 09:06:16
E421,ET1,2025-11-07,2025-11-07 08:49:32
E421,ET1,2025-11-08,2025-11-08 08:49:48
E421,ET1,2025-11-10,2025-11-10 08:51:40
E421,ET1,2025-11-11,2025-11-11 08:51:51
E421,ET1,2025-11-12,2025-11-12 08:49:36
E421,ET1,2025-11-13,2025-11-13 08:49:08
E421,ET1,2025-11-14,2025-11-14 08:48:58
E421,ET1,2025-11-17,2025-11-17 08:49:28
E421,ET1,2025-11-18,2025-11-18 08:43:46
E421,ET1,2025-11-19,2025-11-19 08:50:07
E421,ET1,2025-11-20,2025-11-20 08:49:53
E421,ET1,2025-11-21,2025-11-21 08:48:30
E421,ET1,2025-11-24,2025-11-24 08:48:34
E421,ET1,2025-11-26,2025-11-26 08:48:46
E421,ET1,2025-11-27,2025-11-27 08:48:01
E421,ET1,2025-11-28,2025-11-28 09:07:10
E421,ET1,2025-11-29,2025-11-29 09:13:37
E421,ET1,2025-12-01,2025-12-01 08:50:42
E421,ET1,2025-12-02,2025-12-02 08:49:43
E421,ET1,2025-12-03,2025-12-03 08:48:41
E421,ET1,2025-12-04,2025-12-04 08:53:02
E421,ET1,2025-12-05,2025-12-05 08:51:43
E421,ET1,2025-12-06,2025-12-06 08:55:15
E421,ET1,2025-12-08,2025-12-08 08:47:21
E421,ET1,2025-12-09,2025-12-09 08:52:17
E421,ET1,2025-12-10,2025-12-10 08:51:25
E421,ET1,2025-12-11,2025-12-11 08:49:41
E421,ET1,2025-12-12,2025-12-12 08:47:51
E421,ET1,2025-12-13,2025-12-13 08:47:10
E421,ET1,2025-12-15,2025-12-15 08:49:14
E421,ET1,2025-12-16,2025-12-16 08:50:18
E421,ET1,2025-12-18,2025-12-18 08:47:04
E421,ET1,2025-12-19,2025-12-19 08:48:39
E421,ET1,2025-12-20,2025-12-20 08:46:23
E421,ET1,2025-12-22,2025-12-22 08:48:51
E421,ET1,2025-12-23,2025-12-23 08:51:19
E421,ET1,2025-12-24,2025-12-24 09:05:03
E421,ET1,2025-12-26,2025-12-26 09:15:33
E421,ET1,2025-12-27,2025-12-27 09:12:25
E421,ET1,2025-12-29,2025-12-29 15:49:34
E421,ET1,2025-12-30,2025-12-30 09:20:12
E421,ET1,2026-01-03,2026-01-03 09:01:47
E421,ET1,2026-01-05,2026-01-05 08:54:21
E421,ET1,2026-01-06,2026-01-06 08:46:14
E421,ET1,2026-01-07,2026-01-07 08:48:33
E421,ET1,2026-01-08,2026-01-08 08:48:32
E421,ET1,2026-01-09,2026-01-09 08:46:07
E421,ET1,2026-01-10,2026-01-10 10:13:10
E421,ET1,2026-01-12,2026-01-12 08:50:19
E421,ET1,2026-01-13,2026-01-13 08:48:09
E421,ET1,2026-01-14,2026-01-14 08:53:36
E421,ET1,2026-01-19,2026-01-19 08:47:56
E421,ET1,2026-01-20,2026-01-20 08:45:40
E421,ET1,2026-01-21,2026-01-21 08:45:10
E421,ET1,2026-01-23,2026-01-23 08:47:28
E421,ET1,2026-01-24,2026-01-24 08:57:21
E421,ET1,2026-01-27,2026-01-27 08:50:34
E421,ET1,2026-01-28,2026-01-28 08:51:55
E421,ET1,2026-01-29,2026-01-29 08:47:54
E421,ET1,2026-01-30,2026-01-30 08:54:58
E421,ET1,2026-01-31,2026-01-31 08:48:00
E421,ET1,2026-02-02,2026-02-02 08:47:47
E421,ET1,2026-02-03,2026-02-03 08:47:01
E421,ET1,2026-02-04,2026-02-04 08:50:36
E421,ET1,2026-02-05,2026-02-05 08:47:51
E421,ET1,2026-02-06,2026-02-06 08:51:32
E421,ET2,2025-09-02,2025-09-02 08:48:07
E421,ET2,2025-09-03,2025-09-03 08:48:44
E421,ET2,2025-09-04,2025-09-04 08:52:11
E421,ET2,2025-09-08,2025-09-08 08:50:00
E421,ET2,2025-09-09,2025-09-09 08:43:02
E421,ET2,2025-09-10,2025-09-10 08:45:16
E421,ET2,2025-09-11,2025-09-11 08:44:54
E421,ET2,2025-09-12,2025-09-12 08:44:01
E421,ET2,2025-09-15,2025-09-15 08:48:45
E421,ET2,2025-09-22,2025-09-22 09:37:43
E421,ET2,2025-09-27,2025-09-27 09:05:10
E421,ET2,2025-09-30,2025-09-30 09:09:00
E421,ET2,2025-10-06,2025-10-06 08:43:56
E421,ET2,2025-10-07,2025-10-07 08:45:39
E421,ET2,2025-10-08,2025-10-08 08:49:08
E421,ET2,2025-10-09,2025-10-09 08:47:26
E421,ET2,2025-10-10,2025-10-10 08:43:54
E421,ET2,2025-10-11,2025-10-11 08:46:17
E421,ET2,2025-10-13,2025-10-13 08:46:44
E421,ET2,2025-10-14,2025-10-14 08:46:18
E421,ET2,2025-10-15,2025-10-15 16:29:58
E421,ET2,2025-10-16,2025-10-16 08:47:52
E421,ET2,2025-10-17,2025-10-17 08:49:51
E421,ET2,2025-10-18,2025-10-18 08:48:43
E421,ET2,2025-10-22,2025-10-22 08:47:22
E421,ET2,2025-10-23,2025-10-23 08:48:46
E421,ET2,2025-10-25,2025-10-25 08:46:40
E421,ET2,2025-10-27,2025-10-27 08:49:13
E421,ET2,2025-10-28,2025-10-28 16:28:40
E421,ET2,2025-10-29,2025-10-29 08:46:41
E421,ET2,2025-10-30,2025-10-30 08:48:45
E421,ET2,2025-10-31,2025-10-31 08:46:56
E421,ET2,2025-11-01,2025-11-01 08:50:14
E421,ET2,2025-11-03,2025-11-03 08:49:49
E421,ET2,2025-11-06,2025-11-06 08:47:27
E421,ET2,2025-11-07,2025-11-07 08:49:32
E421,ET2,2025-11-10,2025-11-10 08:51:40
E421,ET2,2025-11-12,2025-11-12 08:49:36
E421,ET2,2025-11-13,2025-11-13 08:49:08
E421,ET2,2025-11-14,2025-11-14 08:48:58
E421,ET2,2025-11-18,2025-11-18 08:43:46
E421,ET2,2025-11-19,2025-11-19 08:50:07
E421,ET2,2025-11-20,2025-11-20 08:49:53
E421,ET2,2025-11-21,2025-11-21 08:48:30
E421,ET2,2025-11-24,2025-11-24 08:48:34
E421,ET2,2025-11-26,2025-11-26 08:48:46
E421,ET2,2025-11-29,2025-11-29 09:13:37
E421,ET2,2025-12-02,2025-12-02 08:49:43
E421,ET2,2025-12-03,2025-12-03 08:48:41
E421,ET2,2025-12-04,2025-12-04 08:53:02
E421,ET2,2025-12-05,2025-12-05 08:51:43
E421,ET2,2025-12-06,2025-12-06 08:55:15
E421,ET2,2025-12-08,2025-12-08 08:47:21
E421,ET2,2025-12-09,2025-12-09 08:52:17
E421,ET2,2025-12-10,2025-12-10 08:51:25
E421,ET2,2025-12-11,2025-12-11 08:49:41
E421,ET2,2025-12-13,2025-12-13 08:47:10
E421,ET2,2025-12-16,2025-12-16 08:50:18
E421,ET2,2025-12-18,2025-12-18 08:47:04
E421,ET2,2025-12-19,2025-12-19 08:48:39
E421,ET2,2025-12-20,2025-12-20 08:46:23
E421,ET2,2025-12-23,2025-12-23 08:51:19
E421,ET2,2025-12-24,2025-12-24 09:05:03
E421,ET2,2025-12-26,2025-12-26 09:15:33
E421,ET2,2025-12-30,2025-12-30 09:20:12
E421,ET2,2026-01-03,2026-01-03 09:01:47
E421,ET2,2026-01-07,2026-01-07 08:48:33
E421,ET2,2026-01-08,2026-01-08 08:48:32
E421,ET2,2026-01-10,2026-01-10 10:13:10
E421,ET2,2026-01-14,2026-01-14 08:53:36
E421,ET2,2026-01-19,2026-01-19 08:47:56
E421,ET2,2026-01-23,2026-01-23 08:47:28
E421,ET2,2026-01-27,2026-01-27 08:50:34
E421,ET2,2026-01-29,2026-01-29 08:47:54
E421,ET2,2026-01-30,2026-01-30 08:54:58
